papers,HYPOTHESIS
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/f6ce76346ebc01e62f92dc72af8132294a24cd3f.summary'],Do atypical memory B cells and plasma cells in severe COVID-19 patients exhibit altered epigenetic marks that influence their inflammatory features and somatic hypermutation patterns?
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/19f54a195b0e8b35a83ff031a0ab76a1bf61d62e.summary'],"Can CRSTAL be used to detect and quantify the cytotoxic activity of natural killer cells in response to cancer cells, and does this activity correlate with the expression of specific inhibitory receptors on the surface of natural killer cells?"
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/2bc4c23bb29ae04b087387ef0c6bff392d6ce07c.summary'],Can OMI-based autofluorescence lifetime imaging of metabolic cofactors NAD(P)H and FAD be used to predict the efficacy of adoptive cell therapy in cancer patients by identifying optimal lymphocyte subtypes and activation states for personalized treatment?
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/22264ee213714435ad68128e177b1c051d42c50b.summary'],Does inhibition of CDK5/CAMK2-AMPK signaling pathway also sensitize non-CML cancer cells to tyrosine kinase inhibitors by disrupting DRP1-mediated mitochondrial fission and autophagy?
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/fb25a4e313e6e7fce715cfc7a774cf76e8696cbf.summary'],"Does the inhibition of Bruton's tyrosine kinase in microglia also reduce the expression of pro-inflammatory cytokines in the central nervous system of multiple sclerosis patients, thereby mitigating the progression of demyelination?"
"['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/3fa99f54a781ea8c539134a9014a632ef2ffff3e.summary', '/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/883284725ca297bb7df6a51813ed006a1b0cb6db.summary', '/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/071128e3aa20735ca3e5118583485cfcffe24a0d.summary']",Does the combination of TRAT1 overexpression and the 6-lncRNA pair signature enhance the predictive power of immunotherapy and chemotherapy response in lung adenocarcinoma patients?
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/08f8d50fecc7ab2caf6bcbe7378e40f60a259689.summary'],Does the redox hypersensitivity of CLL cells conferred by low catalase expression also enhance their susceptibility to oxidative stress-induced apoptosis in response to BCR signaling inhibition?
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/0c7465c09ba1ff385f9c0af81cf7fe198923462d.summary'],Do specific changes in the gut microbiota composition during appendicitis influence the development of ulcerative colitis by modulating the migration and polarization of appendiceal B lymphocytes?
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/607a6d8540f627aabd90bd24520b5cbb0f2589ca.summary'],"Do omega-3 fatty acids modulate the expression of microRNAs involved in the regulation of the STAT6 phosphorylation pathway in HEK-Blue cells, thereby influencing IgE production?"
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/2f1642d038195d7060722a43335b9a72ff625836.summary'],"Does MyD88 inhibition in PBMCs also modulate the expression of microRNAs involved in the regulation of inflammatory responses in RA patients, thereby contributing to the downregulation of pro-inflammatory gene expression signatures?"
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/4b17849ab74ad6128c15168ce224a613d05e73e4.summary'],"Does inhibition of AP-1 also suppress HCK expression and cell survival in MYD88-mutated B-cell lymphomas, and if so, is this effect dependent on JunB regulation?"
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/c5c3f9e0e3d207002638f5a6c2c157cf2fec2c3e.summary'],Does the spatial organization of CXCR5 receptors on the surface of B-cells influence their ability to adapt to changes in the chemokine gradient and optimize antigen scanning rates?
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/3a2e8df1b9999460545e5ce88f6e852febf21cca.summary'],"Does simultaneous inhibition of eIF4E and TEHsp90 also disrupt the oncogenic network in other types of aggressive cancers, such as solid tumors, by modulating the translation and nuclear export of key oncogenic mRNAs?"
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/0afd02871c3edc7119551e82338638ed146e4e0e.summary'],Does targeting the ER-mitochondrial interface with PS89 also modulate the unfolded protein response to enhance chemotherapy sensitivity in acute leukemia cells?
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/1c08f636ce2b14a4e90a56f6635fbfc32852595c.summary'],Can the use of retrogenic TCRs and MHC multimers in combination with intravital imaging enable the prediction of alloimmune response outcomes in transplantation patients based on in vivo tracking of antigen-specific T cell dynamics?
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/240dbf6fbf86a9e442ba19e5db1187e8ca4f3816.summary'],"Can the controlled covalent attachment of a targeting ligand to gold nanoparticles also enhance the delivery of immunotherapeutic agents to cancer cells, leading to increased anti-tumor immune responses?"
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/1461361086f5ca84d34587a323453dd195a8d9d5.summary'],Can the combination of dasatinib with mTOR inhibitors also enhance the efficacy of other tyrosine kinase inhibitors in treating Ph-like B-ALL with ABL-class alterations?
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/227b699c2211667c7b8b49d8257286dbd21e1cdc.summary'],Do LLPCs modulate the expression of CXCR4 on bone marrow stromal cells to create a self-sustaining niche that supports their longevity?
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/63a3c21db32dd15428c3fde074f2aacd4bd4d6c8.summary'],"Does the dysregulation of TAPP adaptors in B cells lead to an imbalance in the PI3K-SHIP signaling axis, thereby contributing to the development of autoimmune diseases such as SLE?"
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/d223ccbb2b2d251602991698fb7636a81fd362c2.summary'],"Does the relocation of derivative chromosome 11 to the nucleolus also lead to the epigenetic silencing of tumor suppressor genes, thereby contributing to the development of Mantle Cell Lymphoma?"
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/529e0df5c660e0b470cbbdff7b449c7762aadf96.summary'],"Can the application of a multi-target inhibition approach to the Wnt pathway in CLL also modulate the tumor microenvironment, leading to enhanced anti-tumor immune responses and improved treatment outcomes?"
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/f5120f1a6c16f37a59d48a3ce7e2ef86a22d325a.summary'],"Does the inhibition of the TPL2-MKK1/2-ERK1/2 pathway also lead to the downregulation of other oncogenic kinases, such as PI3K, in B-cell lymphoma cells, thereby contributing to the cytostatic effect?"
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/017eb92f27371ce1988ceda1ab478aef0c3d5e04.summary'],"Does the timing of antigen presentation to CD4 T cells, rather than the level of antigen-mediated interactions, determine the class of immunity induced, with rapid presentation favoring Th1 responses and delayed presentation favoring Th2 responses?"
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/7a701352aefd12f0c04adf9a709fdd57b2a65ae0.summary'],"Do specific purine/pyrimidine motifs in the RSS heptamer influence the binding affinity of RAG1/2 proteins to the recombination signal sequences, thereby modulating V(D)J recombination efficiency?"
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/77b90403f75d310ad594517790932468a261d1d4.summary'],"Do B cells with altered Ca2+ flux response patterns exhibit changes in their epigenetic landscape, particularly in genes involved in B cell receptor signaling and differentiation, which may contribute to the development of autoimmune disorders or B-cell malignancies?"
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/107adcc60d7f0ec4757300f7228aa52c5cabfd4f.summary'],"Do specific HCDR3 sequences in DLBCL cases influence the binding affinity of the B cell receptor to self-antigens, thereby contributing to the development of autonomous BCR signaling?"
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/991462828186df98e5e0a21bfb3eafa836afbd8f.summary'],Does the combination of TP-0903 and B-PAC-1 with ibrutinib also induce epigenetic changes that lead to long-term suppression of CLL cell growth and prevent relapse?
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/98b1deec7bf25693007d08472c21c910589370ec.summary'],Does survivin-mediated regulation of PBX1 expression in CD4+ T cells influence the development of the CD4+CD161+CCR2+CCR5+ T cell subset associated with therapeutic resistance in Rheumatoid Arthritis?
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/5eef1279221a0f9f77f448ef96189262637fb747.summary'],"Do other scavenger receptors, such as CD36 or CD91, also interact with Echinococcus granulosus sensu lato tegumental components and modulate the host immune response to secondary cystic echinococcosis?"
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/712009706bee0c3896046140035d1cdbaaa7cafa.summary'],"Can the application of machine learning algorithms to integrate multi-omics data from DLBCL patients identify novel, subtype-agnostic biomarkers that can be targeted by a single, universally effective therapeutic strategy?"
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/59c0d6afdc3046269ac4e0c67c044df35ba59c5e.summary'],"Does Gal-9-mediated inhibition of TLR7 signaling in pDC and B cells also involve the suppression of the NLRP3 inflammasome, thereby reducing IL-1β production and further contributing to the alleviation of autoimmune manifestations in lupus models?"
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/7d693a5a0c85629616024086eff91336befedccd.summary'],"Does vagus nerve stimulation modulate the expression of ACh receptors on follicular dendritic cells, thereby influencing their ability to support germinal center formation and antibody responses?"
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/049f4c24fd5af17eba3e45a5d38d12a22c25bb1c.summary'],"Can the simultaneous knockout of Rag2 and Il2rg genes in rats also lead to increased susceptibility to cancer development and progression due to the compromised immune system, and can this be exploited to create a novel cancer model for therapeutic testing?"
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/2d7f137f0a05db5fdad0ece4b6e9f964f38b704a.summary'],"Does the accumulation of BAFF on atacicept also lead to the formation of a positive feedback loop that enhances the production of regulatory T cells, thereby contributing to the therapeutic effects of atacicept in autoimmune diseases?"
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/0661cb1bd547abffc8e7f88377e987a9df4248d7.summary'],"Does the modulation of PTEN protein expression influence the response of GCB-DLBCL cells to tonic BCR signaling inhibition, leading to varying degrees of AKT activity and apoptosis?"
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/180f48789550fe70c85447c1b585f7e5e941043d.summary'],Do B cells from MS patients with high neurodegeneration on MRI scans induce a specific epigenetic signature in microglia that contributes to the progression of neurodegeneration in MS?
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/64b7942b03851c5b49e93e3e84c71ac7e80ae7af.summary'],"Does the AMPK-CREB-Nrf2 pathway regulate S100A11 protein expression in idiopathic inflammatory myopathies, and can its modulation be a therapeutic strategy to alleviate disease activity?"
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/ca4e803aae33c69c832fc5cd188cbd4f1319accc.summary'],"Do RAG mutations also influence the expression of non-canonical V, D, and J genes, leading to the generation of unconventional T and B cell receptors with altered antigen recognition properties?"
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/d0b89a8ea24fb20033ecb7aac0ba58f8065b0113.summary'],"Does the presence of cell-bound CA125 on immune cell subtypes in ovarian cancer patients modulate the expression of checkpoint inhibitors, thereby influencing the efficacy of immunotherapy?"
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/1132399438c4c9e238c978d1d2cd9f7225571485.summary'],"Does the presence of depression and anxiety symptoms in patients with axial spondyloarthritis affect their immune response to SARS-CoV-2, leading to increased disease severity?"
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/b9d0ad3d945db11fd6a9033911cf3b11e4f93538.summary'],"Do asymptomatic children with SARS-CoV-2 infection have a unique immune response that reduces their viral load and infectivity, leading to a lower transmission rate compared to symptomatic individuals with similar viral loads?"
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/0836bdcc6f5b67f12eaefac90417b9c2cdeb979a.summary'],"Do pyrimido[5,4-b]indoles that prolong NF-κB activation without intrinsic activity also modulate the expression of co-stimulatory molecules on antigen-presenting cells, thereby enhancing T cell activation and differentiation?"
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/04ba0051eeb18473496c9103575f5bfcaabaa11b.summary'],"Do B cells with concurrent deficiencies in UNG and MSH2 exhibit a synergistic reduction in somatic hypermutation frequency compared to single-deficient cells, and can this effect be rescued by overexpressing PMS2?"
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/b3307447302d57fd046736d508bbf8cbc6eece9e.summary'],"Does the simultaneous loss of IKAROS and EBF1 lead to the reactivation of Polycomb repression, resulting in a more aggressive and treatment-resistant B cell acute lymphoblastic leukemia phenotype?"
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/651c4c6567494c3929c9beaf2803ce08677ff383.summary'],"Does the cell-intrinsic regulation of CD127- ELPs also depend on the divisional history of their precursors, influencing the expression of specific transcription factors that bias their differentiation towards the T/NK/ILC lineage?"
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/0542f1c0eab6d0e4d518c6a4afc01d9c02e83728.summary'],Does the downregulation of PTEN by microRNA-21-5p also contribute to the development of airway hyperresponsiveness in asthma patients by altering the expression of calcium-handling genes in airway smooth muscle cells?
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/181c6f059090d37c008355c49831d4e4719c049c.summary'],"Does PPARγ-mediated degradation of phosphorylated STAT6 also regulate the production of other inflammatory cytokines in addition to IgE, thereby modulating the overall immune response in asthma?"
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/04eab2eb0f6a897468a439f3feae89a55330a21d.summary'],Do specific patterns of variable domain glycan modification on autoreactive B cells influence the recognition of self-antigens by T cells and contribute to the development of autoimmune diseases?
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/3874591960f08fa86d5f4d05f064608cd2fb9e47.summary'],"Can the optimal hinge length for a CAR construct be further fine-tuned by incorporating the flexibility of the target protein's extracellular domain into the in silico prediction model, leading to even more enhanced cytotoxicity against antigen-low leukemic cells?"
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/09fc5e5b3a6d7c7f183328d76e1db3c5346b08fd.summary'],Do Yangtze finless porpoises in ex situ environments exhibit increased expression of vision-related genes in response to changes in water turbidity and light intensity compared to those in captive environments?
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/0120c72d02866c2f5fea4654378218fc0a12bfb4.summary'],Does ERG1-mediated Ca2+ signaling regulate the expression of specific microRNAs involved in lymphocyte development and differentiation?
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/27edb5cd058b8b922725062a2dbf4b3402c2a55b.summary'],"Do CD11c+T-bet+ B cells regulate the expression of Ezrin and Lyn in B cells, thereby modulating their activation and autoantibody production in lupus?"
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/3e4d3bef66a7b0870a014996b421dfcc4d425a34.summary'],Can the adoptive transfer of EBNA-3C-specific TRUCKs that recognize an epitope presented on HLA-B*35 also enhance the anti-tumor activity of endogenous T cells in patients with EBV-associated lymphoproliferation?
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/2a07af16313b9ccc21063792e7a6cdef6db69fb5.summary'],"Does the nuclear translocation of Bcr-Abl also disrupt the interaction between Bcr-Abl and its upstream regulators, leading to a feedback loop that further enhances apoptosis in CML cells?"
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/116ea69de79ffc53e3a21fd1bf97834aebfdc53d.summary'],Do CD19-dependent germinal center-derived antibody-secreting cells in the CNS exhibit a distinct epigenetic signature that enhances their ability to recognize and respond to viral antigens in the CNS?
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/518f3c66962261e5975cbaed0ac966deb9c3d287.summary'],Does the dysregulation of STIM1 in B cells contribute to the development of autoimmune diseases by altering the calcium signaling pathway and subsequently affecting the expression of FOXO1?
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/0264ee630388b3d80d2e19245a7e9906774ce2c2.summary'],"Does BAFF depletion in aged mice also improve cognitive function by increasing thermogenesis in brown adipose tissue, leading to enhanced neurotrophic factor production and reduced neuroinflammation?"
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/15e9bddd3b510f4ae61a1e058c99f0bba3ba7469.summary'],"Does GPS2-mediated regulation of the PI3K/AKT pathway in B cells also influence the expression of microRNAs that target FOXO1, thereby modulating B cell development and differentiation?"
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/2d79e9054cc9f9aca9a96a532f30289660064615.summary'],"Do glomerular parietal epithelial cells in antibody-negative primary membranous nephropathy patients exhibit altered expression of surface receptors that facilitate the interaction with transitional B cells, thereby contributing to the development of autoantibody production?"
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/381c6adf6b02214fe839494c0703f3d7bc5b0826.summary'],"Can CD30-positive extracellular vesicles also transfer functional CD30 receptors to non-malignant immune cells, thereby enhancing their ability to target and eliminate CD30-negative cancer cells?"
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/7679c9fd4ed819d5b41de77cc07def70d11eae15.summary'],"Does the normalization of mitochondrial respiration rates by ibrutinib treatment in CLL cells also lead to a decrease in the production of reactive oxygen species, thereby reducing oxidative stress and DNA damage in these cells?"
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/01326364a95f3d96be65095013707c882856b2bd.summary'],"Can the combination of NK-EVs and carboplatin modulate the tumor microenvironment by reducing the expression of immunosuppressive cytokines, thereby enhancing the efficacy of cancer immunotherapy in Osimertinib-resistant lung cancer cells with EGFR mutations?"
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/c59185cfc6bdf29165729ab4cf21bc24c95dc740.summary'],"Does PI3Kδ inhibition also modulate the release of pro-inflammatory cytokines in autoimmune bullous diseases, thereby contributing to its therapeutic effect?"
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/d7505c7a72541c6dc3edbedb31c456ad5f72ec87.summary'],"Does the combination of nilotinib and corticosteroids modulate the expression of immune checkpoint molecules on CD8+ T cells and natural killer cells, leading to a reduction in immune-mediated liver injury?"
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/0700a8f8c0a424665e9f40779cd848b5aad8b443.summary'],"Do Min pigs' enhanced immune responses to pathogens also lead to increased production of antimicrobial peptides, which could contribute to their disease resistance?"
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/04790b3231b9eb36e8ff29d1662204ca2af723ad.summary'],"Does the inhibition of Pafah1b3 also sensitize other types of leukemia cells to TKIs, beyond BCR-ABL1 BCP-ALL, and could it be a broadly applicable therapeutic strategy for TKI-resistant leukemias?"
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/557c9845e63f6e61df1deacf1ec15bbd494e7f8e.summary'],"Does SHARPIN-mediated regulation of integrin activity in the tumor microenvironment also influence the recruitment and differentiation of endothelial progenitor cells, thereby modulating tumor angiogenesis?"
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/7808fd1bdb4a665f3660786e53d16dac824fc6cd.summary'],"Do dynamic pre-BCR homodimers also regulate the expression of genes involved in DNA repair, thereby contributing to the development of resistance to chemotherapy in B cell precursor acute lymphoblastic leukemia?"
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/029f49946f391e34a436aee71ab1cc5e66f97773.summary'],"Does estrogen-mediated regulation of miRNAs targeting Aicda mRNA also influence the expression of other genes involved in B cell development and differentiation, leading to a broader impact on immune responses?"
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/56aad7ffb7d30dba2310757a7fd486957994b085.summary'],"Do microbiome-derived metabolites influence the epigenetic landscape of tissue-resident memory T cells, thereby modulating their function and contributing to the heterogeneity of immunological memory?"
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/8627d2e8ca7332e3dd4168d0a3eef000a93ead09.summary'],Does the activated CD11c+Tbet+CD21- B cell subset in childhood-onset SLE patients exhibit a unique epigenetic signature that contributes to its pathogenic role in the disease?
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/0b26f7d06842f30bfd513a2a9735cdb89b912094.summary'],Does the simultaneous detection of intracellular epitopes and transcripts at the single-cell level using QuRIE-seq reveal a previously unknown feedback loop between JAK1 and BCR signaling that is modulated by Ibrutinib in Burkitt lymphoma cells?
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/6bea63221bc152c95f7099a6ecd7748de680e3fe.summary'],"Does the altered N-glycosylation of CD22 also affect the binding of other lectins, such as galectin-1, to CD22 and subsequently influence B cell signaling and autoimmune disease progression?"
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/663dc23928bda2870896ddb262b1fb9903d438bd.summary'],Does the depletion of naïve B cells in lung tissue also alleviate pulmonary fibrosis in patients with idiopathic pulmonary fibrosis?
"['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/734048166fd716499021569dd7e4cf352dbd2b76.summary', '/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/0d83cf0ea64f8cc7ab19b8546f1499fbbad1bfc8.summary']",Does the alternative splicing of genes involved in intracellular transport in memory B cells also influence the phosphorylation of ERK1/2 and thereby affect the prognosis of chronic lymphocytic leukemia?
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/1b53513618f1189b13d651c718ef5e85c94d1f40.summary'],"Does inhibition of Bruton's tyrosine kinase by ibrutinib also reduce the production of reactive oxygen species in orbital fibroblasts from patients with Graves' orbitopathy, thereby contributing to its therapeutic effect?"
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/c5af11d9bb5e926cd92c15ede8e2cca5c5224bcf.summary'],Does nor-NOHA induce apoptosis in leukemic cells under hypoxic conditions by inhibiting the activity of a specific transcription factor that regulates the expression of genes involved in arginine metabolism?
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/1300f82ace5304bfae618ef377956e2895199cee.summary'],"Do alterations in the PPAR pathway, identified in follicular lymphoma, influence the expression of cell adhesion molecules and contribute to the development of resistance to therapies targeting B-cell receptor signaling?"
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/46d183ce66a050840eb450818686898470f53452.summary'],Can the integration of machine learning-based analysis of immune receptor sequences with electronic health records (EHRs) and medical imaging data improve the accuracy of disease diagnosis and prognosis by identifying complex patterns and correlations between immune responses and disease manifestations?
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/e3c24d858652f111acd90fb018f8c5fee22aea4b.summary'],"Does the c-REL-OTUD4 axis also regulate the expression of immune checkpoint molecules in B-cell lymphoma cells, thereby modulating the tumor microenvironment and response to immunotherapy?"
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/d472a105591d0ed81a12f881ee8534d81f8a82af.summary'],"Does the sialic acid binding activity of Siglec-G modulate the expression of CD24 on B-1a cells, thereby influencing their immunoregulatory function in sepsis?"
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/8b88805b65c64dc93a49e3bbd9893f203bfbffa1.summary'],"Do genetic variants in ABC and SLC transporter genes also affect the efficacy of tyrosine kinase inhibitors in other types of cancer, such as acute lymphoblastic leukemia or gastrointestinal stromal tumors?"
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/28c4bb597528b375d6fa9cdb2ad7d4d94e193336.summary'],Does the specific composition of the gut microbiome in CLL patients influence the risk of Richter transformation and can modulation of the gut microbiome reduce this risk?
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/9b0d24cc8929bfe25101c9e60b59fc582c88b01a.summary'],"Does Rora regulate the expression of microRNAs involved in B cell development and BCR/ABL1-induced B-ALL, thereby modulating the balance between cell proliferation and apoptosis?"
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/ce9490a94c869e1e46d221042a0cf4efeb447b00.summary'],"Does the non-canonical function of RAG1 in B and T cell development involve the regulation of a novel, catalytically-independent signaling pathway that can be modulated by post-translational modifications of the D600 residue?"
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/2d71b14862cded3fcf9fed199ea4dc3697e8e153.summary'],"Does the presence of intratumoral TLSs in PDAC patients influence the efficacy of checkpoint inhibitor therapy, and can their characterization be used to predict treatment response?"
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/62299b2adb068bfaa5a94c759330e00753fd5388.summary'],"Does CD55-mediated regulation of heat shock proteins in marginal zone B cells also influence the expression of TLR9, thereby modulating the immune response to nucleic acid-based antigens?"
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/0037a5a1e12ae47ff0f162c9dd8807606d2c5df8.summary'],Does the combination of single-cell RNA sequencing and epigenetic profiling enable the identification of a specific glioma subtype that is more responsive to CAR-T cell therapy targeting IL13Rα2?
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/057142211713eb27dcb2f9235b591cdce127c39b.summary'],"Does CDX-1140-induced activation of antigen-presenting cells lead to the production of specific cytokines that enhance the recruitment and activation of natural killer cells, thereby augmenting the anti-tumor immune response?"
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/ed5792df092ad4a00961addbe8764b2f57e32d8b.summary'],"Does the inhibition of mTOR signaling pathway in DLBCL cells lead to a decrease in CXCR4 expression, thereby enhancing CD8+ T cell infiltration and improving treatment outcomes?"
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/10e858bcd9e770c8707ae8e0680d10f477d045a4.summary'],Does maternal SLE-induced dysregulation of phospho-signaling and pro-inflammatory soluble mediators in the placenta contribute to the development of cryptorchidism in offspring by disrupting the balance of testicular descent-regulating hormones?
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/df0699cdf9f10b88207d239dbd7dd55821bc16e3.summary'],"Does the simultaneous deletion of TRAF2 and TRAF3 lead to a synergistic enhancement of antibody class switch recombination in the absence of co-stimulation, resulting in a more robust and diverse antibody response?"
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/4bda6619500846a2c2623cea59f1ec1f6656d83c.summary'],Does the spatial organization of B cell clusters and high endothelial venules in lymph nodes influence the efficiency of TNFRI and TNFRII signaling in lymph node development?
